runId,algorithmName,inputSize,timeNs,memoryKb,dateRun
1,MergeSort,100,898500,0,2026-08-13
2,QuickSort,100,276900,0,2026-08-13
3,SelectionSort,100,1341400,0,2026-08-13
4,InsertionSort,100,1030600,0,2026-08-13
5,MergeSort,100,231900,0,2026-08-13
6,QuickSort,100,218000,0,2026-08-13
7,SelectionSort,100,2900700,0,2026-08-13
8,InsertionSort,100,5486500,0,2026-08-13
9,MergeSort,100,1664100,0,2026-08-13
10,QuickSort,100,826900,0,2026-08-13
11,SelectionSort,100,1451600,0,2026-08-13
12,InsertionSort,100,819000,0,2026-08-13
13,LinearSearch,100,11500,0,2026-08-13
14,BinarySearch,100,5700,0,2026-08-13
15,LinearSearch,100,7500,0,2026-08-13
16,BinarySearch,100,1100,0,2026-08-13
17,LinearSearch,100,6600,0,2026-08-13
18,BinarySearch,100,900,0,2026-08-13
19,Dijkstra,100,477200,0,2026-08-13
20,BFS,100,309600,0,2026-08-13
21,Dijkstra,100,380800,0,2026-08-13
22,BFS,100,171300,0,2026-08-13
23,Dijkstra,100,396500,0,2026-08-13
24,BFS,100,187900,0,2026-08-13
25,MergeSort,500,12102800,0,2026-08-13
26,QuickSort,500,2541500,0,2026-08-13
27,SelectionSort,500,16511100,0,2026-08-13
28,InsertionSort,500,26096100,0,2026-08-13
29,MergeSort,500,566300,0,2026-08-13
30,QuickSort,500,834800,0,2026-08-13
31,SelectionSort,500,2431400,0,2026-08-13
32,InsertionSort,500,4126100,0,2026-08-13
33,MergeSort,500,456500,0,2026-08-13
34,QuickSort,500,412900,0,2026-08-13
35,SelectionSort,500,6617200,0,2026-08-13
36,InsertionSort,500,4115600,0,2026-08-13
37,LinearSearch,500,33300,0,2026-08-13
38,BinarySearch,500,2000,0,2026-08-13
39,LinearSearch,500,44600,0,2026-08-13
40,BinarySearch,500,1200,0,2026-08-13
41,LinearSearch,500,31800,0,2026-08-13
42,BinarySearch,500,1000,0,2026-08-13
43,Dijkstra,500,900600,253,2026-08-13
44,BFS,500,1756800,0,2026-08-13
45,Dijkstra,500,845700,0,2026-08-13
46,BFS,500,849900,0,2026-08-13
47,Dijkstra,500,980100,0,2026-08-13
48,BFS,500,598700,0,2026-08-13
49,MergeSort,1000,728500,0,2026-08-13
50,QuickSort,1000,775900,0,2026-08-13
51,SelectionSort,1000,6726200,0,2026-08-13
52,InsertionSort,1000,9797300,0,2026-08-13
53,MergeSort,1000,4647000,0,2026-08-13
54,QuickSort,1000,736500,0,2026-08-13
55,SelectionSort,1000,2372100,0,2026-08-13
56,InsertionSort,1000,3694800,0,2026-08-13
57,MergeSort,1000,649100,0,2026-08-13
58,QuickSort,1000,587400,0,2026-08-13
59,SelectionSort,1000,6316200,0,2026-08-13
60,InsertionSort,1000,3823700,0,2026-08-13
61,LinearSearch,1000,110300,0,2026-08-13
62,BinarySearch,1000,2900,0,2026-08-13
63,LinearSearch,1000,108900,0,2026-08-13
64,BinarySearch,1000,2400,0,2026-08-13
65,LinearSearch,1000,109200,0,2026-08-13
66,BinarySearch,1000,1800,0,2026-08-13
67,Dijkstra,1000,784700,0,2026-08-13
68,BFS,1000,638700,0,2026-08-13
69,Dijkstra,1000,757800,0,2026-08-13
70,BFS,1000,1004700,253,2026-08-13
71,Dijkstra,1000,5733300,0,2026-08-13
72,BFS,1000,885800,0,2026-08-13
73,MergeSort,5000,4575600,253,2026-08-13
74,QuickSort,5000,5943300,0,2026-08-13
75,SelectionSort,5000,66061700,0,2026-08-13
76,InsertionSort,5000,61697300,245,2026-08-13
77,MergeSort,5000,4952900,258,2026-08-13
78,QuickSort,5000,3556900,0,2026-08-13
79,SelectionSort,5000,60527000,0,2026-08-13
80,InsertionSort,5000,76150900,0,2026-08-13
81,MergeSort,5000,3228600,254,2026-08-13
82,QuickSort,5000,5154000,0,2026-08-13
83,SelectionSort,5000,43611100,0,2026-08-13
84,InsertionSort,5000,50248900,252,2026-08-13
85,LinearSearch,5000,966400,0,2026-08-13
86,BinarySearch,5000,4300,0,2026-08-13
87,LinearSearch,5000,964500,0,2026-08-13
88,BinarySearch,5000,3700,0,2026-08-13
89,LinearSearch,5000,966700,0,2026-08-13
90,BinarySearch,5000,3700,0,2026-08-13
91,Dijkstra,5000,6169600,0,2026-08-13
92,BFS,5000,1092700,0,2026-08-13
93,Dijkstra,5000,1370000,256,2026-08-13
94,BFS,5000,915300,0,2026-08-13
95,Dijkstra,5000,1217800,0,2026-08-13
96,BFS,5000,699600,0,2026-08-13
97,MergeSort,10000,11712600,559,2026-08-13
98,QuickSort,10000,1784800,0,2026-08-13
99,SelectionSort,10000,154370800,0,2026-08-13
100,InsertionSort,10000,211526400,252,2026-08-13
101,MergeSort,10000,5107100,494,2026-08-13
102,QuickSort,10000,1911300,0,2026-08-13
103,SelectionSort,10000,139703800,0,2026-08-13
104,InsertionSort,10000,207331900,253,2026-08-13
105,MergeSort,10000,2196400,257,2026-08-13
106,QuickSort,10000,1736000,0,2026-08-13
107,SelectionSort,10000,169171900,0,2026-08-13
108,InsertionSort,10000,244983400,253,2026-08-13
109,LinearSearch,10000,644500,0,2026-08-13
110,BinarySearch,10000,2500,0,2026-08-13
111,LinearSearch,10000,639500,0,2026-08-13
112,BinarySearch,10000,1600,0,2026-08-13
113,LinearSearch,10000,645600,0,2026-08-13
114,BinarySearch,10000,2000,0,2026-08-13
115,Dijkstra,10000,12224900,0,2026-08-13
116,BFS,10000,3795300,0,2026-08-13
117,Dijkstra,10000,13138600,0,2026-08-13
118,BFS,10000,3966300,0,2026-08-13
119,Dijkstra,10000,6464900,13,2026-08-13
120,BFS,10000,1788100,253,2026-08-13
