fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
LOC001,LOC002,50.00,7,1
LOC002,LOC003,14.14,2,2
LOC003,LOC004,7.07,1,2
LOC004,LOC005,21.21,3,1
LOC005,LOC006,11.18,1,4
LOC006,LOC007,10.00,1,1
LOC007,LOC008,81.39,11,1
LOC008,LOC009,7.07,1,3
LOC009,LOC010,115.11,16,2
LOC010,LOC011,7.07,1,2
LOC011,LOC012,7.07,1,2
LOC012,LOC013,15.81,2,1
LOC013,LOC014,15.81,2,1
LOC014,LOC015,7.07,1,2
LOC015,LOC016,65.19,9,3
LOC016,LOC017,130.00,18,3
LOC017,LOC018,10.00,1,2
LOC018,LOC019,72.11,10,3
LOC019,LOC020,20.00,2,3
LOC020,LOC021,22.36,3,4
LOC021,LOC022,5.00,1,2
LOC022,LOC023,11.18,1,4
LOC023,LOC024,7.07,1,2
LOC024,LOC025,11.18,1,2
LOC025,LOC026,112.36,16,3
LOC026,LOC027,7.07,1,4
LOC027,LOC028,7.07,1,4
LOC028,LOC029,11.18,1,3
LOC029,LOC030,15.81,2,2
LOC030,LOC031,7.07,1,2
LOC031,LOC032,152.07,21,4
LOC032,LOC033,7.07,1,4
LOC033,LOC034,68.01,9,4
LOC034,LOC035,7.07,1,3
LOC035,LOC036,7.07,1,2
LOC036,LOC037,55.90,7,3
LOC037,LOC038,86.02,12,3
LOC038,LOC039,7.07,1,4
LOC039,LOC040,80.62,11,4
LOC040,LOC041,91.24,13,3
LOC041,LOC042,75.66,10,3
LOC042,LOC043,210.95,30,3
LOC043,LOC044,72.11,10,1
LOC044,LOC045,5.00,1,4
LOC045,LOC046,7.07,1,4
LOC046,LOC047,7.07,1,3
LOC047,LOC048,104.04,14,2
LOC048,LOC049,14.14,2,4
LOC049,LOC050,294.28,42,2
LOC001,LOC050,269.26,38,4
LOC002,LOC020,107.70,15,3
LOC027,LOC040,141.42,20,2
LOC008,LOC022,165.60,23,4
LOC003,LOC013,49.50,7,3
LOC001,LOC026,130.00,18,1
LOC002,LOC048,89.44,12,3
LOC009,LOC019,137.30,19,3
LOC033,LOC048,123.49,17,3
LOC002,LOC042,148.66,21,4
LOC022,LOC034,110.45,15,3
LOC006,LOC023,105.95,15,4
LOC018,LOC028,89.44,12,2
LOC027,LOC049,195.58,27,2
LOC013,LOC033,41.23,5,1
LOC021,LOC035,100.12,14,3
LOC018,LOC029,83.22,11,1
LOC033,LOC038,7.07,1,3
LOC002,LOC010,64.03,9,1
LOC017,LOC038,155.56,22,3
LOC036,LOC050,188.48,26,4
LOC018,LOC034,150.42,21,2
LOC035,LOC044,46.10,6,3
LOC032,LOC037,72.11,10,3
LOC010,LOC022,75.66,10,3
LOC015,LOC033,22.36,3,2
LOC032,LOC042,114.02,16,1
LOC030,LOC046,101.24,14,4
LOC021,LOC038,100.00,14,2
LOC012,LOC031,103.08,14,2
LOC013,LOC021,76.49,10,3
LOC031,LOC044,118.85,16,4
LOC012,LOC048,140.00,20,4
LOC016,LOC020,60.00,8,3
LOC013,LOC031,114.13,16,1
LOC004,LOC012,60.42,8,1
LOC006,LOC050,194.74,27,2
LOC002,LOC039,96.18,13,2
LOC020,LOC028,101.98,14,3
LOC002,LOC043,76.16,10,2
LOC017,LOC040,186.68,26,4
LOC004,LOC022,120.93,17,2
LOC021,LOC046,128.16,18,2
LOC026,LOC028,14.14,2,2
LOC011,LOC013,10.00,1,4
LOC033,LOC036,55.90,7,2
LOC022,LOC025,15.81,2,4
LOC002,LOC044,14.14,2,3
LOC010,LOC030,100.62,14,2
LOC024,LOC041,74.33,10,3
LOC019,LOC024,38.08,5,2
